ROI	x	y	z
Thal_LP_R	8.39	-14.70	14.08
Thal_VA_R	10.33	-3.80	3.47
Thal_VL_R	12.88	-11.09	6.45
Thal_VPL_R	16.81	-20.39	4.88
Thal_IL_R	9.38	-17.05	-0.37
Thal_Re_R	5.50	-9.12	-4.25
Thal_MDm_R	4.26	-15.12	3.77
Thal_MDl_R	7.21	-13.67	4.40
Thal_LGN_R	21.74	-24.78	-5.03
Thal_MGN_R	15.33	-24.48	-5.48
Thal_PuI_R	16.72	-28.87	-0.50
Thal_PuM_R	12.26	-27.06	6.51
Thal_PuA_R	11.32	-21.82	6.63
Thal_PuL_R	16.25	-23.08	11.78
ACC_sub_R	5.98	31.29	-4.92
ACC_pre_R	9.33	42.77	12.23
ACC_sup_R	8.40	27.02	20.67
N_Acc_R	10.22	12.41	-7.56
VTA_R	4.86	-20.83	-17.54
SN_pc_R	9.09	-18.22	-14.63
SN_pr_R	10.98	-14.86	-13.97
Red_N_R	5.95	-19.37	-10.55
LC_R	6.02	-35.26	-27.74
Vermis_1_2	1.96	-40.68	-21.87
Vermis_3	2.55	-41.79	-13.22
Vermis_4_5	2.33	-54.09	-7.90
Vermis_6	2.27	-68.85	-16.89
Vermis_7	2.37	-73.70	-26.85
Vermis_8	2.31	-66.15	-35.85
Vermis_9	2.11	-56.67	-36.80
Vermis_10	1.64	-47.62	-33.38
Raphe_D	0.63	-26.88	-10.34
Raphe_M	-0.05	-30.08	-21.95
